name,lat,lon,odo1,odo2,odo3,hgt,odo
9640,24.02320688,72.38612117,27408,44921,44954,87,44954
9650,24.02331785,72.38614274,27448,44971,45004,87,45004
9660,24.02342358,72.38616334,27494,45018,45051,87,45051
9670,24.02353425,72.38618469,27542,45067,45100,87,45100
9680,24.02364499,72.38620616,27590,45116,45149,87,45149
9690,24.02375522,72.38622762,27631,45165,45198,87,45198
9700,24.02386527,72.38624924,27679,45214,45247,87,45247
9710,24.02397125,72.38627002,27722,45261,45294,87,45294
9720,24.02407756,72.38629083,27769,45309,45342,87,45342
9730,24.02418793,72.38631246,27819,45358,45391,87,45391
9740,24.02429363,72.38633352,27866,45405,45438,87,45438
9750,24.02440372,72.38635511,27914,45454,45487,87,45487
9760,24.0245092,72.38637623,27961,45501,45534,87,45534
9770,24.02461036,72.38639626,28007,45546,45579,87,45579
9780,24.02471559,72.38641733,28052,45593,45625,87,45625
9790,24.02482024,72.38643854,28099,45640,45672,87,45672
9800,24.0249272,72.38646004,28147,45688,45720,87,45720
9810,24.02503245,72.38648107,28194,45735,45766,87,45766
9820,24.02514284,72.38650394,28243,45784,45815,87,45815
9830,24.02524926,72.38652553,28291,45831,45863,87,45863
9840,24.02535935,72.38654785,28340,45880,45912,87,45912
9850,24.02546999,72.38657006,28389,45929,45961,87,45961
9860,24.02557128,72.3865904,28434,45974,46006,87,46006
9870,24.0256772,72.38661154,28481,46021,46054,87,46054
9880,24.02578537,72.38663328,28529,46070,46102,87,46102
9890,24.02589559,72.3866554,28578,46118,46151,87,46151
9900,24.0260064,72.38667757,28627,46168,46201,87,46201
9910,24.02611675,72.38669906,28677,46217,46250,87,46250
9920,24.02622763,72.38672087,28726,46266,46300,87,46300
9930,24.02633356,72.38674184,28772,46313,46347,87,46347
9940,24.02644394,72.38676405,28818,46363,46397,87,46397
9950,24.02654772,72.38678458,28864,46409,46443,87,46443
9960,24.02665315,72.38680664,28909,46456,46490,87,46490
9970,24.0267619,72.38683128,28957,46504,46539,87,46539
9980,24.02686728,72.38685425,28993,46551,46586,87,46586
9990,24.02697311,72.38687559,29039,46598,46633,87,46633
10000,24.02708323,72.38689629,29080,46647,46682,87,46682
10010,24.02719309,72.38691667,29127,46696,46731,87,46731
10020,24.02723847,72.38692495,29146,46716,46751,87,46751
10030,24.02734037,72.38694358,29178,46762,46796,87,46796
10040,24.02736673,72.38694849,29185,46773,46808,87,46808
10050,24.02747279,72.38696826,29230,46820,46855,87,46855
10060,24.02758425,72.38698964,29276,46870,46905,87,46905
10070,24.02769012,72.38700909,29309,46917,46952,87,46952
10080,24.02779646,72.38702954,29356,46964,46999,87,46999
10090,24.02790636,72.38705149,29385,47013,47048,87,47048
10100,24.02801606,72.38707342,29413,47062,47097,87,47097
10110,24.02811695,72.3870936,29439,47107,47142,87,47142
10120,24.02822284,72.38711405,29467,47154,47190,87,47190
10130,24.02832453,72.38713361,29493,47200,47235,87,47235
10140,24.02843078,72.38715399,29521,47247,47283,87,47283
10150,24.0285412,72.38717566,29548,47296,47332,87,47332
10160,24.02865063,72.38719693,29575,47345,47380,87,47380
10170,24.02876121,72.38721871,29600,47394,47430,87,47430
10180,24.02887082,72.38724046,29626,47443,47479,87,47479
10190,24.02897719,72.38725834,29653,47490,47526,87,47526
10200,24.02907892,72.38727514,29676,47535,47571,87,47571
10210,24.02918455,72.38729364,29697,47582,47618,87,47618
10220,24.02929521,72.38731293,29717,47631,47667,87,47667
10230,24.02940192,72.38733146,29740,47679,47714,87,47714
10240,24.02947514,72.38734388,29756,47711,47747,87,47747
10250,24.02957652,72.38736157,29761,47757,47792,87,47792
10260,24.0296803,72.38738011,29778,47803,47838,87,47838
10270,24.02978643,72.38739953,29803,47850,47885,87,47885
10280,24.02989231,72.38741912,29824,47897,47932,87,47932
10290,24.02999846,72.38743915,29846,47944,47979,87,47979
10300,24.03010474,72.38745939,29870,47992,48026,87,48026
10310,24.03021489,72.38748091,29894,48041,48075,87,48075
10320,24.03032045,72.38750203,29917,48088,48121,87,48121
10330,24.03042674,72.38752361,29940,48135,48168,87,48168
10340,24.0305286,72.38754448,29963,48181,48213,87,48213
10350,24.03063454,72.38756644,29987,48228,48261,87,48261
10360,24.03074482,72.38758923,30011,48277,48309,87,48309
